gen_vendor_normalized,total_entries,total_contracts,total_amendments
VERITAAQ TECHNOLOGY HOUSE,89,71,18
DELOITTE AND TOUCHE,79,66,13
EMERION,70,51,19
CANADIAN CORPS OF COMMISSIONAIRES,70,60,10
SI SYSTEMS,61,47,14
TPG TECHNOLOGY CONSULTANTS,61,40,21
RICOH,59,54,5
NORTHERN MICRO,52,51,1
RANDSTAD,52,37,15
IBISKA TELECOM,41,26,15
IBM CANADA,41,29,12
GARTNER,40,39,1
MOTOROLA SOLUTIONS CANADA,38,36,2
CANON,37,36,1
CGI,36,23,13
MOORE CANADA,36,36,0
NISHA TECHONOLOGIES,35,34,1
TEKSYSTEMS CANADA,31,21,10
PRINTERS PLUS,31,30,1
PATTISON SIGNS,29,25,4
4 OFFICE AUTOMATION,28,25,3
ALTIS HUMAN RESOURCES,28,20,8
XEROX,27,27,0
FLEET CHRYSLER CANADA,24,24,0
QMR,22,15,7
ECOLE DE LANGUES ABCE,22,20,2
BDO CANADA,21,17,4
D4IS SOLUTIONS,21,12,9
ADVANCED CHIPPEWA TECHNOLOGIES,20,18,2
MINDWIRE SYSTEMS,19,15,4
TELECOM COMPUTER SERVICES,19,18,1
CALIAN,18,13,5
FORD MOTOR COMPAMY,18,18,0
PERCEPTICS,18,5,13
ADRM TECHNOLOGY CONSULTING,16,12,4
EXCEL HUMAN RESOURCES,15,12,3
TEKNION,15,15,0
BRINKS CANADA,15,12,3
SMITHS DETECTION,14,9,5
CISTEL TECHNOLOGY,12,9,3
ACME FUTURE SECURITY CONTROLS,12,11,1
NAVPOINT CONSULTING GROUP,12,10,2
DONNA CONA,12,9,3
SOFTCHOICE,12,12,0
GLOBAL UPHOLSTERY,12,12,0
JIM PATTISON INDUSTRIES,12,11,1
AGILENT,12,12,0
SAP,11,9,2
MICROSOFT CANADA,11,8,3
KONICA MINOLTA BUSINESS SOLUTIONS,11,11,0
SYSTEMATIX SOLUTIONS,11,5,6
AVI SPL CANADA,11,11,0
ITEX,11,11,0
INTERPORT SHIPWASTE SOLUTIONS,10,9,1
CENTRE DE LANGUES INTERNATIONALES,10,9,1
SMITHS DETECTION MONTREAL,10,4,6
MODIS CANADA,10,8,2
SIMNER,10,9,1
TRM TECHNOLOGIES,10,7,3
CDW CANADA,10,10,0
ABCE,10,9,1
ERGOCENTRIC SEATING SYSTEMS,9,9,0
MOBILSHRED RECALL,9,8,1
ADAPT PHARMA CANADA,9,9,0
DYNAMIC PERSONNEL CONSULTANTS,9,4,5
WILLIAM J BARKER CLINICAL,9,9,0
THERMO FISHER SCIENTIFIC,9,7,2
CANQUEST COMMUNICATIONS WIRELESS,9,4,5
GREATER TORONTO AIRPORTS AUTHORITY,9,6,3
BUSINESS INTERIORS ONTARIO,9,9,0
PROFESSIONAL COMPUTER CONSULTANTS GROUPS,9,8,1
ORACLE CANADA,9,9,0
WATERSHED INFORMATION TECHNOLOGY,9,5,4
PITNEY BOWES,9,9,0
DWP SOLUTIONS,9,5,4
STOEGER CANADA 1990,9,8,1
ERNST YOUNG,8,4,4
COMPUGEN,8,8,0
MORPHO CANADA,8,3,5
ECOLE CREUSOT,8,4,4
PV SERVICES,8,7,1
QUINTET CONSULTING,8,8,0
GRAYBRIDGE INTERNATIONAL CONSULTING,8,6,2
DASCO STORAGE SOLUTIONS,8,8,0
TES CONTRACT SERVICES,8,6,2
4PLAN CONSULTING,8,3,5
ADVANCED BUSINESS INTERIORS,7,7,0
CLOSEREACH,7,4,3
SERCO,7,4,3
MAXSYS,7,5,2
MET SCAN CANADA,7,6,1
GENERAL MOTORS,7,7,0
THE ACCESS INFORMATION AGENCY,7,6,1
OPENFRAME TECHNOLOGIES,7,3,4
LEXISNEXIS CANADA,7,6,1
CONTRACT COMMUNITY,6,5,1
IRON MOUNTAIN CANADA,6,5,1
IMP GROUP,6,3,3
CHUBB EDWARDS,6,6,0
3555844 CANADA,6,3,3
