gen_vendor_normalized,total_entries,total_contracts,total_amendments
CORADIX TECHNOLOGY CONSULTING,19,14,5
CANON,10,10,0
SAMSON AND ASSOCIATES,7,5,2
TERAMACH TECHNOLOGIES,7,6,1
ESRI,7,7,0
IBM CANADA,7,5,2
ALTIS HUMAN RESOURCES,7,5,2
THE AIM GROUP,6,4,2
BPM CONSULTING,6,6,0
PROCOM CONSULTANTS,6,3,3
GARTNER,6,6,0
NORTHERN MICRO,6,6,0
VERSATIL BPI,6,6,0
SOFTCHOICE,6,6,0
CANADA POST,5,3,2
LUMINA IT,5,3,2
CDW CANADA,5,5,0
LOWE MARTIN COMPANY,5,5,0
GILMORE PRINTING SERVICES,5,5,0
SI SYSTEMS,5,4,1
PUROLATOR COURIER,4,3,1
HACKETT CONSULTING,4,3,1
INTERSOL GROUP GROUPE,4,4,0
QUANTUM MANAGEMENT SERVICES,4,4,0
ORANGUTECH,4,2,2
PAULA TIMMONS HUMAN RESOURCES,4,3,1
ADVANCED CHIPPEWA TECHNOLOGIES,4,4,0
OPENFRAME TECHNOLOGIES,4,2,2
CANADIAN CORPS OF COMMISSIONAIRES,4,4,0
LEO PISCES SERVICES GROUP,4,3,1
CENTRE DE LANGUES CHARPENTIER,4,3,1
MICROSOFT CANADA,4,3,1
WILLS TRANSFER,3,2,1
TEKNION,3,2,1
SMITH INDUSPAC OTTAWA,3,3,0
IBISKA TELECOM,3,1,2
CHRETIEN AMELIE,3,2,1
ELLICOM,3,1,2
RAYMOND CHABOT GRANT THORNTON,3,3,0
PROMAXIS,3,2,1
AON REED STENHOUSE,3,2,1
MORNEAU SHEPELL,3,1,2
MAXSYS STAFFING AND CONSULTING,3,2,1
CBI WORKPLACE SOLUTIONS,3,1,2
LOCKHART NATHAN,3,2,1
GROUPE CONSEIL BAASTEL LTEELE,3,2,1
MACFIE ELIZABETH,3,2,1
IT NET CONSULTANTS,3,3,0
DONNA CONA,3,2,1
PHOENIX STRATEGIC PERSPECTIVES,3,3,0
MODIS CANADA,3,3,0
FACILITE INFORMATIQUE CANADA,3,2,1
CANADIALOG,2,1,1
CROWNHILL PACKAGING,2,2,0
COUNCIL OF CANADIANS W DISABIL,2,2,0
HTS ENGINEERING,2,1,1
CALIAN,2,2,0
CERIDIAN CANADA,2,1,1
THE ACCESS INFORMATION AGENCY,2,2,0
CMS HUMAN RESOURCES CON,2,1,1
SIERRA SYSTEMS GROUP,2,2,0
HELMS DEEP CONSULTATION,2,1,1
ROGERS,2,1,1
SYSTEMSCOPE,2,2,0
WORKLOGICCOM,2,1,1
GILMORE REPRODUCTIONS,2,2,0
PURE SPIRIT,2,2,0
GIGUERE ET LORTIE,2,1,1
GENESIS INTEGRATION,2,2,0
NEIL SQUIRE SOCIETY,2,1,1
NAVPOINT CONSULTING GROUP,2,1,1
FELIX TECHNOLOGY,2,2,0
NCR ASSOCIATES,2,1,1
PEOPLE FIRST OF CANADA,2,1,1
RHEA,2,1,1
CARBON BLACK,2,1,1
EXCEL HUMAN RESOURCES,2,2,0
ARTEMP PERSONNEL SERVICES,2,1,1
LONGO AND ASSOCIATES,2,2,0
LIKE 10,2,2,0
APATHY IS BORING PROJECT THE,2,2,0
FREEBALANCE,2,2,0
JODHAN DONNA,2,1,1
IPSS,2,2,0
LAJAK TECHNOLOGIES,2,1,1
DELOITTE AND TOUCHE,2,2,0
INSTITUTE ON GOVERNANCE,2,2,0
ALTRUISTIC INFORMATICS,2,2,0
INSA,2,2,0
RIDEAU RECOGNITION SOLUTION,2,2,0
DA DICKIE,1,1,0
CTC TRAINCANADA,1,1,0
CREMER PIERRE,1,1,0
CANADIAN ASSOCIATION OF THE,1,1,0
CORNERSTONE COMMUNICATIONS,1,1,0
COPHAN,1,1,0
ALTERSPARK,1,1,0
ACHHAB NISSRINE,1,1,0
COOPER CONSULTING,1,1,0
COMPUGEN,1,1,0
