vendor_normalized,sum_effective_value
COMPUGEN,15781768.584
IBM CANADA,9094707.92227778
CERIDIAN CANADA,4322122.418
CORADIX TECHNOLOGY CONSULTING,3191919.85111111
MODIS CANADA,2664317.4485
PROTAK CONSULTING GROUP,1348023.27
ROGERS,1130653.02575
LEO-PISCES SERVICES GROUP,841698.43833333
MICROSOFT CANADA,819286.76833333
MAXSYS,813956.16
THE AIM GROUP,761279.77
ALTIS HUMAN RESOURCES,755033.17666666
TERAMACH TECHNOLOGIES,733207.44
GILMORE PRINTING SERVICES,690042.623
HELM S DEEP CONSULTATION,667231.56666666
EQUASION BUSINESS TECHNOLOGIES,661855.88
PRICEWATERHOUSE COOPERS,650653.41
FUJITSU,573679.26
ORANGUTECH,568776.35
2KEYS,562305.165
ESRI,556248.785
ORACLE CANADA,550018.92
PROMAXIS,529459.878333333
LIKE 10,523919.176
DATA GROUP OF COMPANIES THE,518277.828
ADRM TECHNOLOGY CONSULTING,503961.3
PUBLITEK,491353.325
PROEX,471469.3725
MAXSYS STAFFING AND CONSULTING,466236.96
PROCOM CONSULTANTS,442417.131388893
CGI,441378.68
ELLICOM,407635.879444445
NORTHERN MICRO,405732.996666667
CDW CANADA,398128.15
CMS HUMAN RESOURCES CON,395697.64333333
QMR,382866.75
ALTRUISTIC INFORMATICS,353551.19
SI SYSTEMS,343510.24166666
CANON,338345.5425
RAYMOND CHABOT GRANT THORNTON,335084.75
IBISKA TELECOM,333504.15
THE ACCESS INFORMATION AGENCY,320900.98
INTERSOL GROUP GROUPE,318509.495
OPENFRAME TECHNOLOGIES,282225.3
SAS INSTITUTE,255066.865
THE IT BROKER,245826.325
LOWE-MARTIN COMPANY,244013.749
SAMSON AND ASSOCIATES,241303.8
LUMINA IT,203336.93333333
QUANTUM MANAGEMENT SERVICES,201640.406666668
GARTNER,196093.755
SOFTCHOICE,192632.53
TRANSCONTINENTAL PRINTING,187197.696
ROYAL MOVING & STORAGE,180800
TURTLE TECHNOLOGIES,176456.06
TRM TECHNOLOGIES,167905.66547619
COOPER CONSULTING,164966.14
NAVPOINT CONSULTING GROUP,162242.50333333
PHOENIX STRATEGIC PERSPECTIVES,160865.415
BP&M CONSULTING,156917.885
VERITAAQ TECHNOLOGY HOUSE,155982.75333333
IT/NET CONSULTANTS,147066.895
FACILITE INFORMATIQUE CANADA,132451.2
WILTON & ASSOCIATES,128016.45
EXCEL HUMAN RESOURCES,122190.83
PURE SPIRIT,121772.465
CARBON BLACK,117128.133333333
VERSATIL BPI,116458.16
AON REED STENHOUSE,103706.993333334
ARTEMP PERSONNEL SERVICES,101480.38333333
CALIAN,95848.9
CENTRE DE LANGUES CHARPENTIER,90951.56
LAJAK TECHNOLOGIES,89656.36
GIGUERE ET LORTIE,86921.1
CORPORATE RENAISSANCE GROUP,85922.845
RHEA,84621.6
LORICK,84600.8
PETER CAMERON & ASSOCIATES,80367.53
HOOTSUITE MEDIA,79217.745
EXCELLENCE RHR CONSULTATION,78901.5975
MORNEAU SHEPELL,76987.26
CANADIAN CORPS OF COMMISSIONAIRES,72986.95
SYSTEMSCOPE,71899.63
INSTITUTE ON GOVERNANCE,69800
ACTION PERSONNEL SERVICES,63996.71
ADVANCED CHIPPEWA TECHNOLOGIES,61845.805
CANADA POST CORPORATION,60829.4333333338
LENCZNER SLAGHT ROYCE SMITH,53386.106666668
LE GROUPE-CONSEIL BAASTEL LTEE,53279.420000001
POSITIF GRAPHIQUE,50821.75
CANADIAN OBSERVATORY ON,48438.96
PAULA TIMMONS HUMAN RESOURCES,45445.9
INFO-TECH RESEARCH GROUP,45271.405
GARY BREEN AND ASSOCIATES,44800
PLEIAD CANADA,44800
WORKPLACE SAFETY & PREVENTION,44725.275
WILLS TRANSFER,42224.4
PITNEY BOWES,41050.9005
NATIVE WOMENS ASSOCIATION OF,38984.5
ECOLE DE LANGUES ABCE,38953.53
