vendor_normalized,effective_year,sum_yearly_value
CANADIAN CORPS OF COMMISSIONAIRES,2010,26829.6
CANADIAN CORPS OF COMMISSIONAIRES,2011,43322.595
CANADIAN CORPS OF COMMISSIONAIRES,2012,235220.895
CANADIAN CORPS OF COMMISSIONAIRES,2013,218727.9
CANADIAN CORPS OF COMMISSIONAIRES,2017,103855.49
COMBAT NETWORKS,2008,10218
COMBAT NETWORKS,2009,21874.85
COMBAT NETWORKS,2010,328885.71
COMBAT NETWORKS,2011,63726.13
COMBAT NETWORKS,2012,29203.18
COMBAT NETWORKS,2013,8485.8
FUTURE SECURITY CONTROLS,2012,364200
GARTNER,2009,9750
GARTNER,2010,45240
GARTNER,2011,189457
GARTNER,2012,27550
GARTNER,2013,72976
GARTNER,2014,208739.25
GARTNER,2015,168590.35
GARTNER,2016,142981.16
GARTNER,2017,61722.86
KPMG,2008,86100
KPMG,2011,94500
KPMG,2012,153616.9
KPMG,2013,132569.4
KPMG,2014,11890
KPMG,2015,11890
KPMG,2016,11890
KPMG,2017,20930
MICROSOFT CANADA,2008,1193180.69
MICROSOFT CANADA,2009,11660
MICROSOFT CANADA,2011,70440
MICROSOFT CANADA,2014,37696.8
MICROSOFT CANADA,2015,431484.94
MICROSOFT CANADA,2017,51265.435
ONLOGICS,2014,143328.07
ONLOGICS,2015,143328.07
ONLOGICS,2016,71664.035
ONLOGICS,2017,71664.035
SOFTCHOICE,2008,37371.25
SOFTCHOICE,2009,27574
SOFTCHOICE,2010,42967.695
SOFTCHOICE,2011,36761.34
SOFTCHOICE,2012,246931.295
SOFTCHOICE,2013,117706.5
SOFTCHOICE,2015,63358.64
SOFTCHOICE,2017,18225.37
TERAMACH TECHNOLOGIES,2008,166918.4
TERAMACH TECHNOLOGIES,2009,22260.95
TERAMACH TECHNOLOGIES,2010,376222.95
TERAMACH TECHNOLOGIES,2011,45070.46
TERAMACH TECHNOLOGIES,2012,49720.46
TERAMACH TECHNOLOGIES,2013,9125
TOTEM OFFISOURCE,2011,180559.46
TOTEM OFFISOURCE,2012,666780.89
TOTEM OFFISOURCE,2013,194297.27
TOTEM OFFISOURCE,2014,110648.97
TOTEM OFFISOURCE,2015,110648.97
TOTEM OFFISOURCE,2017,113355.55
