gen_vendor_normalized,total_entries,total_contracts,total_amendments
CANADIAN CORPS OF COMMISSIONAIRES,881,737,144
MOTOROLA SOLUTIONS CANADA,628,613,15
ADGA GROUP,462,188,274
NISHA TECHONOLOGIES,421,404,17
SOFTCHOICE,386,382,4
PANASONIC,353,343,10
XEROX,340,294,46
MEGA TECH,323,269,54
DELL COMPUTER,306,301,5
MINDWIRE SYSTEMS,296,101,195
TELECOM COMPUTER SERVICES,282,275,7
GENESIS INTEGRATION,246,241,5
M D CHARLTON,246,219,27
TELUS CANADA,245,225,20
FORD MOTOR COMPAMY,244,239,5
BELL CANADA,243,214,29
LES DISTRIBUTEURS R NICHOLLS,240,216,24
KONICA MINOLTA BUSINESS SOLUTIONS,237,203,34
SI SYSTEMS,220,80,140
IBM CANADA,207,168,39
PILATUS CENTRE CANADA,188,183,5
GENERAL MOTORS,185,181,4
GLOBAL UPHOLSTERY,181,181,0
V KELNER PILATUS CENTER,179,179,0
DAVTECH ANALYTICAL SERVICES,177,173,4
CDW CANADA,160,148,12
NORTHERN MICRO,153,149,4
LEVAERO AVIATION,152,151,1
BRAINHUNTER,151,48,103
APPLIED BIOSYSTEMS,144,119,25
KNOWLEDGE CIRCLE,142,90,52
CGI,122,34,88
RADIO WORKS COMMUNICATIONS,113,107,6
MISHKUMI TECHNOLOGIES,111,110,1
COLT CANADA,109,100,9
DALIAN ENTERPRISES,108,89,19
EUROCOPTER CANADA,107,101,6
AIRBUS HELICOPTERS CANADA,105,96,9
NIKON CANADA,103,103,0
SUDDEN SERVICE TECHNOLOGIES,99,97,2
GRAVEL AGENCY AGENCE GRAVEL IN,99,99,0
VERITAAQ TECHNOLOGY HOUSE,97,53,44
POLARIS INDUSTRIES CANADA,96,73,23
I2INC,94,91,3
LIFE TECHNOLOGIES,93,76,17
ESRI,93,91,2
HARRIS,92,86,6
STANTEC,92,70,22
MICROSOFT CANADA,92,90,2
MD CHARLTON,91,84,7
TAURUS CONTRACTORS,84,64,20
ORACLE CANADA,83,82,1
DAIMLER,77,76,1
TEKNION,76,73,3
STEELCASE CANADA,73,73,0
SUMMIT CANADA DISTRIBUTORS,72,68,4
TPG TECHNOLOGY CONSULTANTS,71,41,30
SUTHERLAND EXCAVATING,70,68,2
UNISOURCE,70,70,0
RAMPART INTERNATIONAL,69,65,4
ACKLANDS GRAINGER,68,67,1
IMPERIAL OIL,68,59,9
WATCHGUARD VIDEO,68,59,9
ADVANCED BUSINESS INTERIORS,67,66,1
HIGH CRITERIA,67,56,11
CHASE OFFICE INTERIORS,66,66,0
SECURITAS,65,62,3
CILFO,65,49,16
MOTIONRIG SYSTEMS,64,62,2
METAFORE PARTNERSHIP,64,64,0
APPAREL TRIMMINGS,63,40,23
TOYOTA CANADA,62,61,1
MINISTER OF FINANCE,62,58,4
SNC LAVALIN,62,61,1
KEE LOK SECURITY SUPPLIES,61,56,5
NISSAN CANADA,61,59,2
MILLBROOK TACTICAL,60,57,3
SEPW ARCHITECTURE,60,38,22
COMPUGEN,60,60,0
PATHFINDER SYSTEMS DESIGN,59,59,0
TIREE,59,20,39
GENERAL DYNAMICS,58,54,4
BLUEWAVE ENERGY,58,54,4
EFCO ENTERPRISES,58,57,1
HYPERTEC,58,50,8
BROOKFIELD ASSET MANAGEMENT,58,55,3
BOMBARDIER,58,49,9
DANIELS ELECTRONICS,57,57,0
HYUNDAI AUTO CANADA,57,54,3
SUDDEN TECHNOLOGIES,57,55,2
HAWORTH,57,56,1
DONALD A BELLIVEAU ASSOCIES,56,51,5
MORPHO CANADA,56,54,2
PODOLINSKY EQUIPMENT,54,52,2
HUSKY OIL MARKETING COMPANY,54,53,1
METAFORE,52,52,0
MERCURY MARINE,52,52,0
AVIALL,52,51,1
ADT SECURITY SERVICES CANADA,52,49,3
ECOLE DE LANGUES DE LESTRIE,51,39,12
MAPLESOFT CONSULTING,51,18,33
INTEGRA NETWORKS,50,49,1
TESTFORCE SYSTEMS,50,50,0
KORTH GROUP,50,46,4
CTOMS,49,43,6
ZENTRA,49,47,2
ADIRONDACK TECHNOLOGIES FURNITURE I,48,48,0
ARTEX SPORTSWEAR,47,39,8
COMPROD COMMUNICATIONS,47,46,1
MRS CONSTRUCTION,47,47,0
LADYBIRD CONSTRUCTION,47,46,1
TECAN US,47,47,0
COSSETTE COMMUNICATIONS,46,42,4
MODIS CANADA,45,24,21
HOPE AERO PROPELLER COMPONENTS,45,41,4
PRATT WHITNEY CANADA,45,37,8
YAMAHA MOTOR CANADA,45,44,1
ANIXTER CANADA,44,43,1
IO EXPRESS INTERNATIONAL,42,39,3
HONEYWELL,42,39,3
BRC BUSINESS ENTERPRISES,40,40,0
FLIGHT SAFETY INTERNATIONAL,40,30,10
EXP ARCHITECTS,40,40,0
HEWLETT PACKARD,40,31,9
GARTNER,40,39,1
GALA SLACKS,39,28,11
CALGARY SHOOTING CENTRE,39,35,4
DEBERT HOSPITALITY CENTRE,39,36,3
