gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ABDALLAH DALLAL DR,2011,9,6,3
ABDALLAH DALLAL DR,2012,7,6,1
ABDALLAH DALLAL DR,2013,10,8,2
ABDALLAH DALLAL DR,2014,10,9,1
ABDALLAH DALLAL DR,2015,14,10,4
CANADIAN CORPS OF COMMISSIONAIRES,2010,4,4,0
CANADIAN CORPS OF COMMISSIONAIRES,2011,16,14,2
CANADIAN CORPS OF COMMISSIONAIRES,2012,3,3,0
CANADIAN CORPS OF COMMISSIONAIRES,2013,7,7,0
CANADIAN CORPS OF COMMISSIONAIRES,2014,7,7,0
CANADIAN CORPS OF COMMISSIONAIRES,2015,6,6,0
CANADIAN CORPS OF COMMISSIONAIRES,2016,3,3,0
CANADIAN CORPS OF COMMISSIONAIRES,2017,9,8,1
CARDINAL HEALTH,2010,1,1,0
CARDINAL HEALTH,2011,4,4,0
CARDINAL HEALTH,2012,9,9,0
CARDINAL HEALTH,2013,9,9,0
CARDINAL HEALTH,2014,13,13,0
CARDINAL HEALTH,2015,3,3,0
COSSETTE COMMUNICATIONS,2011,9,9,0
COSSETTE COMMUNICATIONS,2012,11,9,2
COSSETTE COMMUNICATIONS,2013,12,9,3
COSSETTE COMMUNICATIONS,2014,15,11,4
COSSETTE COMMUNICATIONS,2015,9,7,2
COSSETTE COMMUNICATIONS,2016,2,2,0
COSSETTE COMMUNICATIONS,2017,8,7,1
DR ROBERT OUELLETTE,2011,7,5,2
DR ROBERT OUELLETTE,2012,10,9,1
DR ROBERT OUELLETTE,2013,12,12,0
DR ROBERT OUELLETTE,2014,16,15,1
DR ROBERT OUELLETTE,2015,24,20,4
MCKESSON CANADA,2010,18,13,5
MCKESSON CANADA,2011,4,4,0
MCKESSON CANADA,2012,7,7,0
MCKESSON CANADA,2013,7,7,0
MCKESSON CANADA,2014,8,8,0
MCKESSON CANADA,2015,5,5,0
MICHEL WHITE SPRCP,2011,8,5,3
MICHEL WHITE SPRCP,2012,15,10,5
MICHEL WHITE SPRCP,2013,12,8,4
MICHEL WHITE SPRCP,2014,12,10,2
MICHEL WHITE SPRCP,2015,13,5,8
NISHA TECHONOLOGIES,2010,2,2,0
NISHA TECHONOLOGIES,2011,9,9,0
NISHA TECHONOLOGIES,2012,7,7,0
NISHA TECHONOLOGIES,2013,10,9,1
NISHA TECHONOLOGIES,2014,9,9,0
NISHA TECHONOLOGIES,2015,7,5,2
NISHA TECHONOLOGIES,2016,1,1,0
NISHA TECHONOLOGIES,2017,1,1,0
SERVICES PRN,2011,28,20,8
SERVICES PRN,2012,22,13,9
SERVICES PRN,2013,21,11,10
SERVICES PRN,2014,11,6,5
SERVICES PRN,2015,4,2,2
TRANSBUS,2010,3,3,0
TRANSBUS,2011,8,5,3
TRANSBUS,2012,11,3,8
TRANSBUS,2013,12,3,9
TRANSBUS,2014,12,1,11
TRANSBUS,2015,10,1,9
