gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,2015,7,6,1
ALTIS HUMAN RESOURCES,2016,18,10,8
ALTIS HUMAN RESOURCES,2017,13,9,4
CANADIAN CORPS OF COMMISSIONAIRES,2015,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2017,5,4,1
EDGAR,2016,6,5,1
EDGAR,2017,3,1,2
ERNST YOUNG,2015,5,3,2
ERNST YOUNG,2016,4,3,1
ERNST YOUNG,2017,3,1,2
IHS GLOBAL CANADA,2015,4,4,0
IHS GLOBAL CANADA,2016,1,1,0
IHS GLOBAL CANADA,2017,4,4,0
LIONBRIDGE,2016,2,2,0
LIONBRIDGE,2017,4,1,3
MAPLESOFT CONSULTING,2015,1,1,0
MAPLESOFT CONSULTING,2016,7,6,1
MAPLESOFT CONSULTING,2017,13,13,0
MICROSOFT CANADA,2015,1,1,0
MICROSOFT CANADA,2016,3,3,0
MICROSOFT CANADA,2017,5,3,2
RIDEAU RECOGNITION SOLUTIONS,2016,2,2,0
RIDEAU RECOGNITION SOLUTIONS,2017,5,4,1
SI SYSTEMS,2016,5,5,0
SI SYSTEMS,2017,5,3,2
