vendor_normalized,effective_year,sum_yearly_value
ACCENTURE,2011,22680
ACCENTURE,2015,565000
ACCENTURE,2017,8517860.0366667
DONNA CONA,2011,140263
DONNA CONA,2012,1862744.5
DONNA CONA,2013,1294918.1
DONNA CONA,2014,594204.85
DONNA CONA,2015,5429458.975
DONNA CONA,2016,1625114.415
DONNA CONA,2017,904664.385
IBISKA TELECOM,2011,12861258
IBISKA TELECOM,2012,571216
IBISKA TELECOM,2013,670168.95
IBISKA TELECOM,2014,209298.6
IBISKA TELECOM,2016,76190.25
IBISKA TELECOM,2017,244718.45
LUMINA IT,2011,482722.5
LUMINA IT,2012,1076568
LUMINA IT,2013,1737145.43
LUMINA IT,2014,1014785.9
LUMINA IT,2015,1148883.325
LUMINA IT,2016,1142465.51000001
LUMINA IT,2017,2507204.80333335
MAXXAM ANALYTICAL INTERNATIONAL,2011,3288507.2
MAXXAM ANALYTICAL INTERNATIONAL,2012,2987638
MAXXAM ANALYTICAL INTERNATIONAL,2013,9849305.57
MAXXAM ANALYTICAL INTERNATIONAL,2014,1845151.73
MAXXAM ANALYTICAL INTERNATIONAL,2015,3366018.73
MAXXAM ANALYTICAL INTERNATIONAL,2016,1418835.275
MAXXAM ANALYTICAL INTERNATIONAL,2017,2881594.44
MICROSOFT CANADA,2011,169491
MICROSOFT CANADA,2012,514219
MICROSOFT CANADA,2013,9955274.01
MICROSOFT CANADA,2014,232451.75
MICROSOFT CANADA,2015,176235.57
MICROSOFT CANADA,2016,147079.53
MICROSOFT CANADA,2017,374188.6
NATURE S SEA FARMS,2013,20138213.65
NISHA TECHONOLOGIES,2012,21254
NISHA TECHONOLOGIES,2013,19605916.54
NISHA TECHONOLOGIES,2015,157460.75
NISHA TECHONOLOGIES,2016,573583.22
NISHA TECHONOLOGIES,2017,357918.17
ORACLE CANADA,2011,41903
ORACLE CANADA,2012,1182388
ORACLE CANADA,2013,614524.74
ORACLE CANADA,2014,448881.825
ORACLE CANADA,2015,3244246.875
ORACLE CANADA,2016,2939162.655
ORACLE CANADA,2017,877440.305
SILLIKER JR LABORATORIES UL,2012,586470
SILLIKER JR LABORATORIES UL,2013,2606232
SILLIKER JR LABORATORIES UL,2014,2604160.2025
SILLIKER JR LABORATORIES UL,2015,1259946.16333333
SILLIKER JR LABORATORIES UL,2016,1200813.96666667
SILLIKER JR LABORATORIES UL,2017,1440937.69125
