vendor_normalized,effective_year,sum_yearly_value
BRIGDEN CATHERINE,2008,5042.95
BRIGDEN CATHERINE,2009,11490.54
BRIGDEN CATHERINE,2010,11490.54
BRIGDEN CATHERINE,2011,52209.17
BRIGDEN CATHERINE,2012,62052.92
BRIGDEN CATHERINE,2013,193456.93
BRIGDEN CATHERINE,2014,159612.63
BRIGDEN CATHERINE,2015,34851.30
BRIGDEN CATHERINE,2016,29953.38
BRIGDEN CATHERINE,2017,18000.00
COFOMO,2008,31164.00
COFOMO,2009,18191.25
COFOMO,2010,18191.25
COFOMO,2012,32500.00
COFOMO,2013,111522.32
COFOMO,2014,150378.59
COFOMO,2015,259646.60
COFOMO,2016,460995.88
COFOMO,2017,79073.35
ENSEIGNES PATTISON SIGN GROUP,2009,198060.05
ENSEIGNES PATTISON SIGN GROUP,2010,293869.17
ENSEIGNES PATTISON SIGN GROUP,2011,60351.71
ENSEIGNES PATTISON SIGN GROUP,2013,108948.89
ENSEIGNES PATTISON SIGN GROUP,2017,74658.51
FREEBALANCE,2008,487161.50
FREEBALANCE,2009,600036.00
FREEBALANCE,2010,416715.63
FREEBALANCE,2011,472384.53
FREEBALANCE,2012,389100.22
FREEBALANCE,2013,182503.08
FREEBALANCE,2014,163933.08
FREEBALANCE,2015,231646.28
FREEBALANCE,2016,245960.40
FREEBALANCE,2017,818290.61
KABOOM COMMUNICATION DESIGN,2012,130150.00
KABOOM COMMUNICATION DESIGN,2013,130150.00
KABOOM COMMUNICATION DESIGN,2014,138074.35
KABOOM COMMUNICATION DESIGN,2015,60604.11
KABOOM COMMUNICATION DESIGN,2016,72413.49
KABOOM COMMUNICATION DESIGN,2017,21868.82
LORRAINE FRAPPIER,2008,272914.64
LORRAINE FRAPPIER,2009,352742.50
LORRAINE FRAPPIER,2010,182308.50
MICROSERV DORVAL,2008,179770.99
MICROSERV DORVAL,2009,363220.72
MICROSERV DORVAL,2010,20810.20
ORACLE CANADA,2008,41611.15
ORACLE CANADA,2009,204678.26
ORACLE CANADA,2010,160438.48
ORACLE CANADA,2011,205605.33
ORACLE CANADA,2012,355216.17
ORACLE CANADA,2013,354276.25
ORACLE CANADA,2014,259716.72
ORACLE CANADA,2015,227035.53
ORACLE CANADA,2016,218675.02
ORACLE CANADA,2017,205372.73
SOFTCHOICE,2008,209005.30
SOFTCHOICE,2009,173082.21
SOFTCHOICE,2010,114092.13
SOFTCHOICE,2011,90242.87
SOFTCHOICE,2012,6261.01
SOFTCHOICE,2013,10899.64
SOFTCHOICE,2016,11124.29
SOFTCHOICE,2017,11124.29
TELUS CANADA,2010,480835.52
TELUS CANADA,2011,58024.77
TELUS CANADA,2012,47093.86
