gen_vendor_normalized,total_entries,total_contracts,total_amendments
XEROX,37,30,7
EXCEL HUMAN RESOURCES,23,15,8
ESRI,15,14,1
ALTIS HUMAN RESOURCES,13,12,1
TOTEM OFFISOURCE,11,11,0
CNW GROUP,10,10,0
ARTEMP PERSONNEL SERVICES,9,7,2
CEDROM SNI,7,7,0
CHASE OFFICE INTERIORS,7,7,0
PHASELOCK SYSTEMS INTERNATIONAL,7,7,0
FOUNDATION OF ADMINISTRATIVE JUSTICE,7,7,0
SOFTCHOICE,6,5,1
LANNICK CONTRACT SOLUTIONS,6,5,1
ADVANCED BUSINESS INTERIORS,5,5,0
GLOBAL UPHOLSTERY,5,5,0
ESSA TECHNOLOGIES,5,5,0
ITEX,5,5,0
LIONBRIDGE,4,2,2
STANTEC,4,4,0
ROBERT HALF CANADA,4,2,2
RENAUD EXPERTISE,4,2,2
CBCI TELECOM,4,4,0
NALY MANAGEMENT CONSULTING,4,3,1
MAINLAND REPORTING SERVICES,4,3,1
INTERNATIONAL REPORTING,4,3,1
CSDC SYSTEMS,4,4,0
GOLDER ASSOCIATES,4,4,0
GENESIS INTEGRATION,4,4,0
DONNA CONA,4,2,2
CANADIAN ENVIRONMENTAL NETWORK,4,4,0
DARE HUMAN RESOURCES,4,3,1
SUSSEX CIRCLE,4,4,0
M LOUISE WOOD,3,1,2
GH JOHNSONS FURNITURE,3,3,0
PRIVASOFT,3,3,0
TRADULITECH,3,1,2
GA PACKMAN ASSOCIATES,3,3,0
170963 CANADA,3,2,1
CORADIX TECHNOLOGY CONSULTING,3,1,2
AVW TELAV,3,3,0
THE 500 STAFFING SERVICES,3,1,2
6233902 CANADA,3,3,0
UNIVERSITE SAINTE ANNE,3,2,1
HARRINGTON STAFFING SERVICES,3,3,0
ABCE LANGUAGE SCHOOL,3,2,1
168446 CANADA,2,2,0
AURA ENVIRONMENTAL RESEARCH AND CONSULTING,2,2,0
BANG THE TABLE CANADA,2,1,1
BC CONSERVATION FOUNDATION,2,1,1
BRUCE YOUNG,2,1,1
CARON PROFESSIONAL LINGUISTIC TRAINING CENTRE,2,1,1
CISTEL TECHNOLOGY,2,1,1
CLARY OTTMAN CPA CA,2,1,1
DALHOUSIE UNIVERSITY,2,1,1
DC DAMMAN ASSOCIATES,2,2,0
DOUGLAS HORSWILL,2,1,1
DUOCOM CANADA,2,2,0
ECOLE DE LANGUES ABCE,2,2,0
ECOLE DE LANGUES DE LESTRIE,2,2,0
GOWLING WLG CANADA,2,1,1
GROUPE HEMISPHERES,2,2,0
GROUPE INTERSOL GROUP,2,1,1
HONEYWELL,2,2,0
HUNT TEMPORARILY YOURS,2,2,0
INNU NATION,2,2,0
INTERNATIONAL SIMULTANEOUS TRANSLATION SERVICE,2,2,0
IRON MOUNTAIN CANADA,2,1,1
LESLIE SMITH DR,2,1,1
LOGIC 2000,2,2,0
MICHAEL BOGUES,2,2,0
OPENTEXT,2,2,0
PAUL POLLACK PERSONNEL,2,2,0
PORTAGE PERSONNEL,2,2,0
PROCOM CONSULTANTS,2,1,1
QMR,2,2,0
RENEE PELLETIER,2,1,1
ROBERT HALF MANAGEMENT RESOURCES,2,1,1
SIMON FRASER UNIVERSITY,2,2,0
STEPHEN NEIMAN ASSOCIATES,2,1,1
STRATOS,2,2,0
THE ACCESS INFORMATION AGENCY,2,1,1
