gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ADVANCED BUSINESS INTERIORS,2008,5,5,0
ADVANCED BUSINESS INTERIORS,2009,8,8,0
ADVANCED BUSINESS INTERIORS,2010,3,3,0
ADVANCED BUSINESS INTERIORS,2011,2,2,0
ADVANCED BUSINESS INTERIORS,2012,6,6,0
ADVANCED BUSINESS INTERIORS,2013,1,1,0
ADVANCED BUSINESS INTERIORS,2014,2,2,0
ADVANCED BUSINESS INTERIORS,2015,2,2,0
ADVANCED BUSINESS INTERIORS,2016,2,2,0
ADVANCED BUSINESS INTERIORS,2017,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2008,3,3,0
CANADIAN CORPS OF COMMISSIONAIRES,2009,3,3,0
CANADIAN CORPS OF COMMISSIONAIRES,2010,3,3,0
CANADIAN CORPS OF COMMISSIONAIRES,2011,1,0,1
CANADIAN CORPS OF COMMISSIONAIRES,2012,3,3,0
CANADIAN CORPS OF COMMISSIONAIRES,2013,7,4,3
CANADIAN CORPS OF COMMISSIONAIRES,2014,3,3,0
CANADIAN CORPS OF COMMISSIONAIRES,2015,1,0,1
CANADIAN CORPS OF COMMISSIONAIRES,2016,5,4,1
CANADIAN CORPS OF COMMISSIONAIRES,2017,7,5,2
EXCEL HUMAN RESOURCES,2009,7,7,0
EXCEL HUMAN RESOURCES,2010,22,12,10
EXCEL HUMAN RESOURCES,2011,15,6,9
EXCEL HUMAN RESOURCES,2012,14,14,0
EXCEL HUMAN RESOURCES,2013,11,6,5
EXCEL HUMAN RESOURCES,2014,6,4,2
EXCEL HUMAN RESOURCES,2015,6,2,4
EXCEL HUMAN RESOURCES,2016,3,1,2
EXCEL HUMAN RESOURCES,2017,4,2,2
IBM CANADA,2008,8,8,0
IBM CANADA,2009,4,4,0
IBM CANADA,2010,7,7,0
IBM CANADA,2011,5,5,0
IBM CANADA,2012,3,3,0
IBM CANADA,2013,3,2,1
IBM CANADA,2014,2,2,0
IBM CANADA,2016,3,3,0
ITEX,2008,5,5,0
ITEX,2009,11,11,0
ITEX,2010,11,11,0
ITEX,2011,3,3,0
ITEX,2016,1,1,0
ITEX,2017,1,1,0
NISHA TECHONOLOGIES,2009,5,5,0
NISHA TECHONOLOGIES,2010,5,5,0
NISHA TECHONOLOGIES,2011,5,4,1
NISHA TECHONOLOGIES,2012,5,4,1
NISHA TECHONOLOGIES,2013,7,6,1
NISHA TECHONOLOGIES,2014,3,3,0
NISHA TECHONOLOGIES,2015,2,1,1
NISHA TECHONOLOGIES,2016,6,6,0
NISHA TECHONOLOGIES,2017,5,3,2
PRINTERS PLUS,2008,5,5,0
PRINTERS PLUS,2009,11,11,0
PRINTERS PLUS,2010,7,7,0
PRINTERS PLUS,2011,1,1,0
PRINTERS PLUS,2012,3,3,0
PRINTERS PLUS,2013,2,2,0
PRINTERS PLUS,2014,2,2,0
PRINTERS PLUS,2016,1,1,0
PROMAXIS,2008,1,1,0
PROMAXIS,2009,2,2,0
PROMAXIS,2010,7,5,2
PROMAXIS,2011,7,4,3
PROMAXIS,2012,1,1,0
PROMAXIS,2013,3,2,1
PROMAXIS,2014,1,0,1
PROMAXIS,2015,1,1,0
PROMAXIS,2016,4,1,3
PROMAXIS,2017,3,1,2
SI SYSTEMS,2008,5,5,0
SI SYSTEMS,2009,2,2,0
SI SYSTEMS,2010,6,2,4
SI SYSTEMS,2011,2,1,1
SI SYSTEMS,2012,7,6,1
SI SYSTEMS,2013,7,3,4
SI SYSTEMS,2014,4,1,3
SI SYSTEMS,2015,2,1,1
SI SYSTEMS,2016,5,2,3
SI SYSTEMS,2017,4,0,4
SOFTCHOICE,2008,10,10,0
SOFTCHOICE,2009,11,11,0
SOFTCHOICE,2010,7,7,0
SOFTCHOICE,2011,2,2,0
SOFTCHOICE,2015,1,1,0
SOFTCHOICE,2017,1,1,0
