vendor_normalized,effective_year,sum_yearly_value
BELL CANADA,2008,8998806.47
BELL CANADA,2009,3063841.06
BELL CANADA,2010,6802456.26
BELL CANADA,2011,13729139.97
BELL CANADA,2012,13535026.40
BELL CANADA,2013,74582.83
BELL CANADA,2014,151266.70
BELL CANADA,2015,464753.71
BELL CANADA,2016,154273.25
BELL CANADA,2017,153665.88
CANADIAN BUREAU FOR INTERNATIONAL,2014,13665967.67
CANADIAN BUREAU FOR INTERNATIONAL,2015,13665967.67
CANADIAN BUREAU FOR INTERNATIONAL,2016,13665967.67
CANADIAN BUREAU FOR INTERNATIONAL,2017,13665967.67
CANADIAN CORPS OF COMMISSIONAIRES,2008,220286.27
CANADIAN CORPS OF COMMISSIONAIRES,2009,45285.24
CANADIAN CORPS OF COMMISSIONAIRES,2010,468119.50
CANADIAN CORPS OF COMMISSIONAIRES,2012,2974581.93
CANADIAN CORPS OF COMMISSIONAIRES,2013,6252931.88
CANADIAN CORPS OF COMMISSIONAIRES,2014,3880393.04
CANADIAN CORPS OF COMMISSIONAIRES,2015,7222190.88
CANADIAN CORPS OF COMMISSIONAIRES,2016,7382839.63
CANADIAN CORPS OF COMMISSIONAIRES,2017,6109950.25
CGI,2008,4632095.81
CGI,2009,4083098.81
CGI,2010,1672870.31
CGI,2011,2552631.81
CGI,2012,2574101.81
CGI,2013,2825747.38
CGI,2014,3044333.58
CGI,2015,3624580.88
CGI,2016,4111429.51
CGI,2017,4744803.19
COWATERSOGEMA,2008,4448504.28
COWATERSOGEMA,2009,4448504.28
COWATERSOGEMA,2010,6414484.25
COWATERSOGEMA,2011,6414484.25
COWATERSOGEMA,2012,6930694.70
COWATERSOGEMA,2013,7070220.60
COWATERSOGEMA,2014,7609686.87
COWATERSOGEMA,2015,11912273.79
COWATERSOGEMA,2016,8523353.77
COWATERSOGEMA,2017,7154421.27
GRAYBRIDGE INTERNATIONAL CONSULTING,2008,3527034.37
GRAYBRIDGE INTERNATIONAL CONSULTING,2009,2930736.67
GRAYBRIDGE INTERNATIONAL CONSULTING,2010,925518.22
GRAYBRIDGE INTERNATIONAL CONSULTING,2011,5450777.07
GRAYBRIDGE INTERNATIONAL CONSULTING,2012,5450777.07
GRAYBRIDGE INTERNATIONAL CONSULTING,2013,9148686.57
GRAYBRIDGE INTERNATIONAL CONSULTING,2014,3813671.12
GRAYBRIDGE INTERNATIONAL CONSULTING,2015,3795306.30
GRAYBRIDGE INTERNATIONAL CONSULTING,2016,8179264.42
GRAYBRIDGE INTERNATIONAL CONSULTING,2017,4541055.51
INTERLANGUES LANGUAGE SCHOOL,2011,3269318.70
INTERLANGUES LANGUAGE SCHOOL,2012,3285156.90
INTERLANGUES LANGUAGE SCHOOL,2015,3205000.00
INTERLANGUES LANGUAGE SCHOOL,2016,19091882.62
OVERBURY,2014,64762068.66
SARAYA ALBINAA CONTRACTING,2014,14631662.10
SARAYA ALBINAA CONTRACTING,2015,14631662.10
SNC LAVALIN,2008,3395314.62
SNC LAVALIN,2009,3508205.16
SNC LAVALIN,2010,3402297.51
SNC LAVALIN,2011,3282054.06
SNC LAVALIN,2012,3284042.88
SNC LAVALIN,2013,3152147.69
SNC LAVALIN,2014,3179182.74
SNC LAVALIN,2015,3139921.64
