gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
A?COLE CREUSOT 3005526 CA,2009,6,2,4
A?COLE CREUSOT 3005526 CA,2010,10,1,9
A?COLE CREUSOT 3005526 CA,2011,10,1,9
A?COLE DE LANGUES LA CITA?,2008,11,1,10
A?COLE DE LANGUES LA CITA?,2009,9,1,8
A?COLE DE LANGUES LA CITA?,2012,11,6,5
BARBARA PERSONNEL,2008,11,1,10
BARBARA PERSONNEL,2009,7,1,6
BARBARA PERSONNEL,2010,3,0,3
BARBARA PERSONNEL,2013,1,1,0
CFG INTERVENTIONS,2008,9,1,8
CFG INTERVENTIONS,2009,6,0,6
CFG INTERVENTIONS,2010,9,2,7
CFG INTERVENTIONS,2011,6,1,5
CFG INTERVENTIONS,2012,3,1,2
EXCEL HUMAN RESOURCES,2008,17,1,16
EXCEL HUMAN RESOURCES,2009,21,1,20
EXCEL HUMAN RESOURCES,2010,14,1,13
EXCEL HUMAN RESOURCES,2011,10,1,9
EXCEL HUMAN RESOURCES,2012,3,2,1
EXCEL HUMAN RESOURCES,2013,3,3,0
EXCEL HUMAN RESOURCES,2014,3,3,0
EXCEL HUMAN RESOURCES,2015,5,5,0
EXCEL HUMAN RESOURCES,2016,2,1,1
FRISCHKORN ASSOCIATES,2008,6,1,5
FRISCHKORN ASSOCIATES,2009,3,1,2
FRISCHKORN ASSOCIATES,2010,4,1,3
FRISCHKORN ASSOCIATES,2011,1,0,1
FRISCHKORN ASSOCIATES,2012,3,2,1
FRISCHKORN ASSOCIATES,2013,2,2,0
FRISCHKORN ASSOCIATES,2014,1,1,0
FRISCHKORN ASSOCIATES,2015,2,2,0
FRISCHKORN ASSOCIATES,2016,1,1,0
FRISCHKORN ASSOCIATES,2017,1,1,0
SAMSON & ASSOCIATES,2008,29,1,28
SAMSON & ASSOCIATES,2009,23,1,22
SAMSON & ASSOCIATES,2010,16,1,15
SAMSON & ASSOCIATES,2011,13,1,12
SAMSON & ASSOCIATES,2012,11,6,5
SAMSON & ASSOCIATES,2013,12,12,0
SAMSON & ASSOCIATES,2014,1,1,0
SHARP ELECTRONICS,2008,2,1,1
SHARP ELECTRONICS,2009,5,1,4
SHARP ELECTRONICS,2010,2,0,2
SHARP ELECTRONICS,2011,8,1,7
SHARP ELECTRONICS,2012,6,4,2
SHARP ELECTRONICS,2013,9,9,0
SHARP ELECTRONICS,2014,7,6,1
SHARP ELECTRONICS,2015,14,14,0
SHARP ELECTRONICS,2016,14,13,1
SHARP ELECTRONICS,2017,10,10,0
TOTEM OFFISOURCE,2008,6,1,5
TOTEM OFFISOURCE,2009,13,1,12
TOTEM OFFISOURCE,2010,10,1,9
TOTEM OFFISOURCE,2011,4,0,4
TOTEM OFFISOURCE,2012,2,2,0
TOTEM OFFISOURCE,2014,3,3,0
TOTEM OFFISOURCE,2015,1,1,0
TOTEM OFFISOURCE,2017,2,2,0
XEROX,2008,5,2,3
XEROX,2009,6,1,5
XEROX,2010,3,1,2
XEROX,2011,3,0,3
XEROX,2012,2,2,0
XEROX,2013,6,5,1
XEROX,2014,6,6,0
XEROX,2015,2,2,0
XEROX,2017,1,0,1
