gen_vendor_normalized,total_entries,total_contracts,total_amendments
INTEGRA NETWORKS,40,40,0
SAS INSTITUTE,25,20,5
BELL CANADA,21,15,6
EXCEL HUMAN RESOURCES,16,12,4
SHI CANADA,16,16,0
GARTNER,16,15,1
ZYCOM,15,15,0
ORACLE CANADA,14,12,2
XEROX,13,12,1
IBM CANADA,13,12,1
TEKNION,11,11,0
TERAMACH TECHNOLOGIES,11,11,0
EXECUTIVE SPIN,10,10,0
DALIAN ENTERPRISES,10,8,2
FLETCHER SUSAN,10,10,0
HEWLETT PACKARD,9,8,1
EBSCO CANADA,9,6,3
TODD SHARON,9,9,0
DONNA CONA,9,4,5
CBCI TELECOM,8,8,0
CGI,8,7,1
SHARP ELECTRONICS,8,8,0
MAPLESOFT CONSULTING,8,6,2
DELOITTE AND TOUCHE,7,7,0
SAMSON ET ASSOCIES,7,5,2
FREEBALANCE,7,7,0
MODIS CANADA,7,3,4
COTE DENIS M,7,7,0
BRAINHUNTER,6,3,3
2335719 ONTARIO,6,6,0
IT NET CONSULTANTS,6,4,2
QUINTET CONSULTING,6,4,2
PLEIAD CANADA,6,6,0
ITEX,6,6,0
ECOLE DE LANGUES LA CITE,6,3,3
MICROSOFT CANADA,6,6,0
MTS ALLSTREAM,6,3,3
CANON,6,6,0
KNOWLEDGE CIRCLE,6,4,2
COMPUGEN,6,4,2
THE HERJAVEC GROUP,6,6,0
CORPORATE RESEARCH GROUP,6,3,3
COPEM CONSULTING,6,5,1
BMC SOFTWARE CANADA,5,5,0
SYSTEMSCOPE,5,3,2
BATES PROJECT MANAGEMENT,5,2,3
AZUR HUMAN RESOURCES,5,5,0
CDW CANADA,5,5,0
E S TUNIS AND ASSOCIATES,5,4,1
MAXSYS PROFESSIONALS,5,5,0
ARTEMP PERSONNEL SERVICES,5,3,2
3755479 CANADA MAXSYS,5,2,3
COOPER CONSULTING,5,3,2
CORPORATE EXPRESS,5,4,1
CYBERKLIX,5,5,0
IPSS,5,4,1
CONEXSYS,5,5,0
INGRES,4,4,0
SIMPLEX INDUSTRIES,4,3,1
SYSNOVATORS,4,3,1
RETIREMENT PLANNING INSTITUTE,4,2,2
RHDF 2000,4,4,0
CISION CANADA,4,1,3
R E GILMORE INVESTMENTS,4,1,3
EKOS,4,4,0
NOVELL CANADA,4,4,0
2060945 ONTARIO,4,4,0
PROACTIVE SECURITY,4,4,0
LANNICK CONTRACT SOLUTIONS,4,4,0
THE AIM GROUP,4,3,1
CANADIAN CORPS OF COMMISSIONAIRES,4,3,1
CALIAN,4,2,2
LNW CONSULTING,4,2,2
THINKPOINT,4,2,2
CORADIX TECHNOLOGY CONSULTING,4,4,0
CONFERENCE BOARD OF CANADA,4,4,0
ES TUNIS AND ASSOCIATES,4,3,1
1230117 ONTARIO,4,4,0
ALTIS HUMAN RESOURCES,3,3,0
SOFTCHOICE,3,3,0
ROBERT HALF MANAGEMENT RES,3,3,0
ROBERT HALF MANAGEMENT,3,3,0
ALGONQUIN COLLEGE,3,1,2
RFP SOLUTIONS,3,2,1
HACKETT CONSULTING,3,2,1
GLENCASTLE SECURITY,3,2,1
RED SASH,3,3,0
PUBLIC SECTOR COMPANY,3,3,0
RIOUX REGIS,3,2,1
EMERION,3,2,1
ADRM TECHNOLOGY CONSULTING,3,2,1
CENTRE FOR PUBLIC MANAGEMENT,3,3,0
PIXELERA,3,2,1
NICOLE DOZOIS JOHNSTON,3,2,1
PERFORMANCE CONSULTING,3,2,1
DYNAMIC PERSONNEL CONSULTANTS,3,2,1
ADECCO EMPLOYMENT SERVICES,3,1,2
DEMENAGEMENT SLBL,3,2,1
DE MARTIGNY YVES,3,2,1
MICHAEL WAGER CONSULTING,3,2,1
