gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
AVI SPL CANADA,2016,2,2,0
AVI-SPL CANADA,2016,1,1,0
AVI-SPL CANADA,2017,3,3,0
BOYDEN OTTAWA,2016,1,1,0
BOYDEN OTTAWA,2017,1,0,1
BROOKFIELD ASSET MANAGEMENT,2017,2,2,0
GENESIS INTEGRATION,2016,2,2,0
LEAN AGILITY,2017,3,3,0
MCCABE PROMOTIONAL ADVERTISING,2016,1,1,0
MCCABE PROMOTIONAL ADVERTISING,2017,1,1,0
NISHA TECHONOLOGIES,2016,3,3,0
NISHA TECHONOLOGIES,2017,3,3,0
SAMSON & ASSOCIATES CPA/CONSULTING,2017,3,3,0
TEKSYSTEMS CANADA,2017,3,1,2
