vendor_normalized,effective_year,sum_yearly_value
AIRCO AIRCRAFT CHARTERS,2009,22932
AIRCO AIRCRAFT CHARTERS,2010,69394.5
AIRCO AIRCRAFT CHARTERS,2011,92925
AIRCO AIRCRAFT CHARTERS,2012,139450.5
AIRCO AIRCRAFT CHARTERS,2013,105273
AIRCO AIRCRAFT CHARTERS,2014,12285
ARTHUR SHOFLEY,2009,8394.5
ARTHUR SHOFLEY,2010,18394.5
ARTHUR SHOFLEY,2011,40000
ARTHUR SHOFLEY,2012,45000
ARTHUR SHOFLEY,2013,63000
ARTHUR SHOFLEY,2014,15000
CANADIAN CORPS OF COMMISSIONAIRES,2010,93762
CANADIAN CORPS OF COMMISSIONAIRES,2011,221333.5
CANADIAN CORPS OF COMMISSIONAIRES,2012,178426.5
CANADIAN CORPS OF COMMISSIONAIRES,2013,129926
CANADIAN CORPS OF COMMISSIONAIRES,2014,93142
CANON,2008,10688.75
CANON,2009,18541.4166666666
CANON,2010,72603.0166666666
CANON,2011,97262.2666666666
CANON,2012,198042.566666667
CANON,2013,180752.9
CANON,2014,121485.9
CANON,2015,77813.1433333333
CANON,2016,78443.8433333333
CANON,2017,46573.7433333333
CHARLOTTE HEBERT,2010,11865
CHARLOTTE HEBERT,2011,75375
CHARLOTTE HEBERT,2012,43755
CHARLOTTE HEBERT,2013,40680
CHARLOTTE HEBERT,2014,40680
CHARLOTTE HEBERT,2015,30510
CHARLOTTE HEBERT,2016,20340
CHARLOTTE HEBERT,2017,28467.5
FURLOW FINANCIAL,2011,35312.333333333
FURLOW FINANCIAL,2012,52261.833333333
FURLOW FINANCIAL,2013,52261.833333333
FURLOW FINANCIAL,2014,25425
FURLOW FINANCIAL,2015,25425
NEOPOST CANADA,2012,30465
NEOPOST CANADA,2013,42059.5
NEOPOST CANADA,2014,42059.5
NEOPOST CANADA,2015,70430.6916666667
NEOPOST CANADA,2016,57555.2066666667
NEOPOST CANADA,2017,21719.7066666667
NOEL MILLIEA,2009,27500
NOEL MILLIEA,2010,47500
NOEL MILLIEA,2011,107500
NOEL MILLIEA,2012,172500
NOEL MILLIEA,2013,50000
NOEL MILLIEA,2014,30000
NOEL MILLIEA,2015,11500
NOEL MILLIEA,2016,11500
TELUS CANADA,2015,193933
XEROX,2009,1709.8333333333
XEROX,2010,12904.1666666666
XEROX,2011,15845.1666666666
XEROX,2012,20372.9999999999
XEROX,2013,20372.9999999999
XEROX,2014,44828.4999999996
XEROX,2015,58934.5406666663
XEROX,2016,53577.357333333
XEROX,2017,60974.057333333
