gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
AGILENT,2008,32,32,0
AGILENT,2009,42,41,1
AGILENT,2010,38,36,2
AGILENT,2011,40,40,0
AGILENT,2012,33,33,0
AGILENT,2013,41,41,0
AGILENT,2014,28,28,0
AGILENT,2015,18,18,0
AGILENT,2016,16,16,0
AGILENT,2017,15,15,0
ALTIS HUMAN RESOURCES,2008,51,51,0
ALTIS HUMAN RESOURCES,2009,43,28,15
ALTIS HUMAN RESOURCES,2010,38,28,10
ALTIS HUMAN RESOURCES,2011,31,18,13
ALTIS HUMAN RESOURCES,2012,23,16,7
ALTIS HUMAN RESOURCES,2013,28,24,4
ALTIS HUMAN RESOURCES,2014,58,40,18
ALTIS HUMAN RESOURCES,2015,36,30,6
ALTIS HUMAN RESOURCES,2016,28,23,5
ALTIS HUMAN RESOURCES,2017,20,17,3
B C CONSERVATION FOUNDATION,2008,17,17,0
B C CONSERVATION FOUNDATION,2009,34,24,10
B C CONSERVATION FOUNDATION,2010,50,29,21
B C CONSERVATION FOUNDATION,2011,44,26,18
B C CONSERVATION FOUNDATION,2012,46,30,16
B C CONSERVATION FOUNDATION,2013,53,40,13
B C CONSERVATION FOUNDATION,2014,70,45,25
B C CONSERVATION FOUNDATION,2015,43,35,8
B C CONSERVATION FOUNDATION,2016,26,23,3
B C CONSERVATION FOUNDATION,2017,1,1,0
CANON,2008,26,26,0
CANON,2009,25,13,12
CANON,2010,24,18,6
CANON,2011,43,22,21
CANON,2012,59,35,24
CANON,2013,80,49,31
CANON,2014,85,15,70
CANON,2015,42,40,2
CANON,2016,57,56,1
CANON,2017,16,15,1
EXCEL HUMAN RESOURCES,2008,87,87,0
EXCEL HUMAN RESOURCES,2009,82,61,21
EXCEL HUMAN RESOURCES,2010,81,50,31
EXCEL HUMAN RESOURCES,2011,57,28,29
EXCEL HUMAN RESOURCES,2012,43,27,16
EXCEL HUMAN RESOURCES,2013,58,41,17
EXCEL HUMAN RESOURCES,2014,37,16,21
EXCEL HUMAN RESOURCES,2015,17,16,1
EXCEL HUMAN RESOURCES,2016,15,13,2
EXCEL HUMAN RESOURCES,2017,10,7,3
FISHER SCIENTIFIC,2008,45,45,0
FISHER SCIENTIFIC,2009,48,48,0
FISHER SCIENTIFIC,2010,56,54,2
FISHER SCIENTIFIC,2011,41,41,0
FISHER SCIENTIFIC,2012,41,41,0
FISHER SCIENTIFIC,2013,42,42,0
FISHER SCIENTIFIC,2014,41,40,1
FISHER SCIENTIFIC,2015,13,13,0
FISHER SCIENTIFIC,2016,9,9,0
FISHER SCIENTIFIC,2017,8,8,0
FORD MOTOR COMPAMY,2008,63,63,0
FORD MOTOR COMPAMY,2009,40,37,3
FORD MOTOR COMPAMY,2010,29,29,0
FORD MOTOR COMPAMY,2011,39,38,1
FORD MOTOR COMPAMY,2012,24,23,1
FORD MOTOR COMPAMY,2013,26,26,0
FORD MOTOR COMPAMY,2014,35,33,2
FORD MOTOR COMPAMY,2015,14,14,0
FORD MOTOR COMPAMY,2016,10,10,0
FORD MOTOR COMPAMY,2017,2,2,0
HOSKIN SCIENTIFIC,2008,57,57,0
HOSKIN SCIENTIFIC,2009,76,73,3
HOSKIN SCIENTIFIC,2010,70,66,4
HOSKIN SCIENTIFIC,2011,62,58,4
HOSKIN SCIENTIFIC,2012,60,55,5
HOSKIN SCIENTIFIC,2013,59,56,3
HOSKIN SCIENTIFIC,2014,56,53,3
HOSKIN SCIENTIFIC,2015,41,40,1
HOSKIN SCIENTIFIC,2016,68,68,0
HOSKIN SCIENTIFIC,2017,30,27,3
PORTAGE PERSONNEL,2008,86,86,0
PORTAGE PERSONNEL,2009,55,34,21
PORTAGE PERSONNEL,2010,34,14,20
PORTAGE PERSONNEL,2011,20,8,12
PORTAGE PERSONNEL,2012,4,2,2
PORTAGE PERSONNEL,2013,4,2,2
PORTAGE PERSONNEL,2014,1,1,0
PORTAGE PERSONNEL,2015,4,3,1
PORTAGE PERSONNEL,2016,5,3,2
PORTAGE PERSONNEL,2017,3,3,0
XEROX,2008,27,27,0
XEROX,2009,24,24,0
XEROX,2010,40,29,11
XEROX,2011,33,17,16
XEROX,2012,25,14,11
XEROX,2013,49,25,24
XEROX,2014,34,15,19
XEROX,2015,6,6,0
XEROX,2016,15,14,1
XEROX,2017,6,6,0
