gen_vendor_normalized,total_entries,total_contracts,total_amendments
HOSKIN SCIENTIFIC,579,553,26
EXCEL HUMAN RESOURCES,487,346,141
CANON,457,289,168
B C CONSERVATION FOUNDATION,384,270,114
ALTIS HUMAN RESOURCES,356,275,81
FISHER SCIENTIFIC,344,341,3
AGILENT,303,300,3
FORD MOTOR COMPAMY,282,275,7
XEROX,259,177,82
PORTAGE PERSONNEL,216,156,60
CANADIAN CORPS OF COMMISSIONAIRES,194,166,28
CANADIAN HELICOPTERS,184,174,10
CAMPBELL SCIENTIFIC CANADA CORP,177,158,19
BARBARA PERSONNEL,175,120,55
AXYS TECHNOLOGIES,172,160,12
SOFTCHOICE,164,161,3
DELL COMPUTER CORPORATION,155,155,0
AXYS ANALYTICAL SERVICES,155,120,35
GENERAL MOTORS,145,145,0
TRM TECHNOLOGIES,138,135,3
CAMPBELL SCIENTIFIC,135,127,8
VWR INTERNATIONAL,134,131,3
ECOLE DE LANGUES LA CITE,129,108,21
VAISALA,121,103,18
RICOH,121,80,41
VERITAAQ TECHNOLOGY HOUSE,120,82,38
NISHA TECHONOLOGIES,118,110,8
QUANTUM MANAGEMENT SERVICES,115,67,48
DASCO EQUIPMENT,112,110,2
AIR TINDI,111,104,7
ESRI,110,104,6
GREAT SLAVE HELICOPTERS,107,102,5
RONDAR,103,96,7
MAPLESOFT CONSULTING,103,85,18
TERAMACH TECHNOLOGIES,94,91,3
CHEMINFO SERVICES,94,92,2
LES GAZ SPECIAUX MEGS,89,85,4
C D NOVA-TECH,88,79,9
JOHNSON CONTROLS L P,87,77,10
ALTRUISTIC INFORMATICS CONSULTING,85,65,20
AIR LIQUIDE CANADA,76,70,6
TELECOM COMPUTER SERVICES,76,76,0
STANTEC,76,70,6
SYSTEMATIX SOLUTIONS,74,55,19
CD NOVA-TECH,73,73,0
CHRYSLER CANADA,71,70,1
ARTEMP PERSONNEL SERVICES,71,56,15
FTS FOREST TECHNOLOGY SYSTEMS,70,68,2
RANDSTAD,67,54,13
ATS SCIENTIFIC,66,66,0
LOTEK WIRELESS,66,63,3
THE ASSOCIATES GROUP OF COMPANIES,65,31,34
PRAXAIR DISTRIBUTION,64,56,8
THERMO FISHER SCIENTIFIC,63,61,2
953731 NWT,62,50,12
PRAXAIR CANADA,62,60,2
ANDREW MAZEIKIS ANDREW LEE,59,51,8
NORTHERN MICRO,59,59,0
TSI,58,55,3
SHARP ELECTRONICS,58,35,23
IBM CANADA,58,58,0
ITEX,57,57,0
GLOBAL UPHOLSTERY CO,57,57,0
AKRULOGIC,56,56,0
LABORTEK PERSONNEL SERVICES,55,38,17
UNIVERSITE SAINTE-ANNE,55,44,11
UNIVERSITY OF WATERLOO,54,52,2
SLATE FALLS AIRWAYS 1999,54,51,3
ADVANCED BUSINESS INTERIORS,54,54,0
DIONEX CANADA,53,52,1
HEARST AIR SERVICE,52,51,1
BIRD STUDIES CANADA,51,51,0
THE AIM GROUP,51,33,18
SYSTEMATIC SOLUTIONS,51,51,0
KELLY SERVICES CANADA,51,36,15
FOREST HELICOPTERS,50,50,0
MAXSYS STAFFING AND CONSULTING,50,32,18
THE 500 STAFFING SERVICES,49,32,17
TOYOTA CANADA,49,48,1
NEWTERRA,49,48,1
SYSTEMSCOPE,48,40,8
UNIVERSITY OF WINDSOR,48,48,0
CBCI TELECOM,47,45,2
QMR,47,39,8
CDW CANADA,47,47,0
ORACLE CANADA,46,43,3
EPSI EVALUATION PERSONNEL SELECTION INTERNATIONAL,46,43,3
SUTRON CORPORATION,46,46,0
VAISALA CANADA,45,40,5
KNOWLEDGE CIRCLE,44,38,6
PACWILL ENVIRONMENTAL,44,42,2
BELL CANADA,43,32,11
WEST COAST HELICOPTERS MAINTENANCE & CONTRACTING,43,38,5
UNIVERSITY OF SASKATCHEWAN,42,42,0
FRENCH LANGUAGE TRAINING SERVICES,42,35,7
SOMOS,41,36,5
WATERS,41,40,1
DROPLET MEASUREMENT TECHNOLOGIES,41,37,4
CALEDON LABORATORIES,40,40,0
T P CRAWFORD,40,32,8
