gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
9288 7231 QUEBEC LA PLAZA PLAZA GATINEAU,2016,4,4,0
9288 7231 QUEBEC LA PLAZA PLAZA GATINEAU,2017,4,0,4
CANADIAN CORPS OF COMMISSIONAIRES,2015,2,2,0
CANADIAN CORPS OF COMMISSIONAIRES,2016,3,2,1
CANADIAN CORPS OF COMMISSIONAIRES,2017,2,2,0
DELL COMPUTER,2015,1,1,0
DELL COMPUTER,2016,5,5,0
DELL COMPUTER,2017,1,1,0
EDGAR,2015,3,2,1
EDGAR,2016,4,2,2
EDGAR,2017,3,2,1
LORD ELGIN HOTEL,2015,1,1,0
LORD ELGIN HOTEL,2016,2,2,0
LORD ELGIN HOTEL,2017,4,4,0
MAPLESOFT CONSULTING,2015,1,1,0
MAPLESOFT CONSULTING,2016,5,3,2
MAPLESOFT CONSULTING,2017,1,0,1
MICROSOFT CANADA,2015,2,2,0
MICROSOFT CANADA,2016,3,3,0
MICROSOFT CANADA,2017,3,2,1
NORTHERN MICRO,2015,1,1,0
NORTHERN MICRO,2016,4,4,0
NORTHERN MICRO,2017,2,2,0
ORACLE CANADA,2015,2,2,0
ORACLE CANADA,2016,1,1,0
ORACLE CANADA,2017,5,5,0
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,2016,7,7,0
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,2017,5,4,1
