gen_vendor_normalized,total_entries,total_contracts,total_amendments
RICHARD W GROUNDS,4,2,2
RICHARD GROUNDS,3,3,0
EXCEL HUMAN RESOURCES,3,3,0
JOHN DICKSON PROFESSIONAL,3,2,1
LUMINA IT,2,2,0
RGN MANAGEMENT,2,2,0
SYNERGY DATA CENTRES,2,2,0
TELECOM COMPUTER SERVICES,2,2,0
CDW CANADA,2,2,0
ALTRUISTIC INFORMATICS CONSULTING,2,2,0
UNIVERSITY OF OTTAWA,2,2,0
ANNE MARIE KOKINSKI CORNEAU,2,2,0
WORKDYNAMICS TECHNOLOGIES,2,1,1
COPEM CONSULTING,2,2,0
CANADIAN CORPS OF COMMISSIONAIRES,2,2,0
QUINTET CONSULTING,2,2,0
MICHAEL WU,1,1,0
MOUDAN BAHDON,1,1,0
NISHA TECHONOLOGIES,1,1,0
ACCESS 2 NETWORKS,1,1,0
PRAGMATIC,1,1,0
PRAGMATIC CONFERENCING,1,1,0
QSR INTERNATIONAL,1,1,0
REBECCA MCKAY,1,1,0
THOMSON CANADA,1,1,0
THORNLEY FALLIS,1,1,0
TWIN BIRCH CONSULTING,1,1,0
WESLEY WARK,1,1,0
OTTAWA BUSINESS INTERIORS,1,1,0
ACCURATE DESIGN COMMUNICATION,1,1,0
CEDAR AND SAGE LAW,1,1,0
CHRISTIAN LEUPRECHT,1,1,0
CSDC SYSTEMS,1,1,0
DECISIVE TECHNOLOGIES,1,1,0
FASKEN MARTINEAU DUMOULIN,1,1,0
FLEMING COMMUNICATIONS,1,1,0
GLENCASTLE SECURITY,1,1,0
GOLDBLATT PARTNERS,1,1,0
HK COMMUNICATIONS,1,1,0
IBM CANADA,1,1,0
JANIQUE SIMARD OUELLETTE,1,1,0
JENNIFER NEIL,1,1,0
KIEDROWSKI AND ASSOCIATES,1,1,0
LESLIE REYNOLDS,1,1,0
