vendor_normalized,effective_year,sum_yearly_value
ADRM TECHNOLOGY CONSULTING,2017,333293.5
A HUNDRED ANSWERS,2016,495775.5525
A HUNDRED ANSWERS,2017,1135711.5025
ARTEMP PERSONNEL SERVICES,2016,103127.24
ARTEMP PERSONNEL SERVICES,2017,116687.24
EMERION,2016,109724.05333333
EMERION,2017,129001.50222222
EXCEL HUMAN RESOURCES,2016,463446.91
EXCEL HUMAN RESOURCES,2017,463446.91
LANNICK CONTRACT SOLUTIONS,2014,138090.3175
LANNICK CONTRACT SOLUTIONS,2015,138090.3175
LANNICK CONTRACT SOLUTIONS,2016,138090.3175
LANNICK CONTRACT SOLUTIONS,2017,138090.3175
OTTAWA MARRIOTT OTTAWA,2015,383527.315
OTTAWA MARRIOTT OTTAWA,2016,383527.315
OTTAWA MARRIOTT OTTAWA,2017,383527.315
RICOH,2015,70198.317
RICOH,2016,70198.317
RICOH,2017,74717.865
SAP,2014,63768.784
SAP,2015,63768.784
SAP,2016,63768.784
SAP,2017,63768.784
TURTLE TECHNOLOGIES,2015,356738.825
TURTLE TECHNOLOGIES,2016,356738.825
TURTLE TECHNOLOGIES,2017,356738.825
