gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
C L A PERSONNEL,2008,1,1,0
C L A PERSONNEL,2009,6,3,3
C L A PERSONNEL,2010,1,1,0
C L A PERSONNEL,2011,2,1,1
C L A PERSONNEL,2012,1,1,0
C L A PERSONNEL,2013,1,1,0
C L A PERSONNEL,2014,3,1,2
CORADIX TECHNOLOGY CONSULTING,2010,1,1,0
CORADIX TECHNOLOGY CONSULTING,2012,1,1,0
CORADIX TECHNOLOGY CONSULTING,2013,1,1,0
CORADIX TECHNOLOGY CONSULTING,2014,1,1,0
CORADIX TECHNOLOGY CONSULTING,2015,3,3,0
CORADIX TECHNOLOGY CONSULTING,2016,3,2,1
CORADIX TECHNOLOGY CONSULTING,2017,4,1,3
DELOITTE AND TOUCHE,2010,3,3,0
DELOITTE AND TOUCHE,2011,6,6,0
DELOITTE AND TOUCHE,2012,1,1,0
DELOITTE AND TOUCHE,2013,1,1,0
DELOITTE AND TOUCHE,2014,2,2,0
EXCEL HUMAN RESOURCES,2008,1,1,0
EXCEL HUMAN RESOURCES,2010,2,1,1
EXCEL HUMAN RESOURCES,2011,4,2,2
EXCEL HUMAN RESOURCES,2013,2,2,0
EXCEL HUMAN RESOURCES,2014,11,6,5
EXCEL HUMAN RESOURCES,2015,1,1,0
EXCEL HUMAN RESOURCES,2016,4,4,0
EXCEL HUMAN RESOURCES,2017,4,3,1
ITEX,2009,3,3,0
ITEX,2010,4,4,0
ITEX,2012,3,3,0
ITEX,2013,1,1,0
ITEX,2015,4,4,0
ITEX,2016,1,1,0
MARIE ST-JEAN,2009,1,1,0
MARIE ST-JEAN,2010,3,3,0
MARIE ST-JEAN,2011,3,2,1
MARIE ST-JEAN,2013,1,1,0
MARIE ST-JEAN,2014,1,1,0
MARIE ST-JEAN,2015,1,1,0
MARIE ST-JEAN,2016,1,1,0
MARIE ST-JEAN,2017,1,1,0
NISHA TECHONOLOGIES,2008,2,2,0
NISHA TECHONOLOGIES,2009,1,1,0
NISHA TECHONOLOGIES,2010,5,5,0
NISHA TECHONOLOGIES,2011,2,2,0
NISHA TECHONOLOGIES,2012,2,2,0
NISHA TECHONOLOGIES,2013,2,2,0
NISHA TECHONOLOGIES,2015,1,1,0
QUANTUM MANAGEMENT SERVICES,2008,1,1,0
QUANTUM MANAGEMENT SERVICES,2011,5,3,2
QUANTUM MANAGEMENT SERVICES,2012,3,2,1
QUANTUM MANAGEMENT SERVICES,2013,2,1,1
QUANTUM MANAGEMENT SERVICES,2014,1,1,0
QUANTUM MANAGEMENT SERVICES,2015,1,0,1
QUANTUM MANAGEMENT SERVICES,2016,4,4,0
QUANTUM MANAGEMENT SERVICES,2017,2,1,1
RICOH,2009,1,1,0
RICOH,2010,1,1,0
RICOH,2011,3,3,0
RICOH,2012,2,1,1
RICOH,2013,1,0,1
RICOH,2014,2,1,1
RICOH,2015,2,2,0
RICOH,2016,4,4,0
RICOH,2017,5,5,0
ROGERS,2011,2,2,0
ROGERS,2012,1,1,0
ROGERS,2013,2,1,1
ROGERS,2014,3,2,1
ROGERS,2015,2,1,1
ROGERS,2016,2,2,0
ROGERS,2017,3,3,0
